,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
D-209725,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,40,38,2,14.2,8.1,10.4,NA,52.8,25.5,50,4,1,4,3,4,3,1,NA
D-209726,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,45,39,6,15.4,8.9,8.8,NA,51.9,25.5,50,2,1,3,3,4,3,1,NA
D-209728,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,35,5,15.5,9.1,10.6,NA,52.8,25.9,50,4,2,3,3,4,2,2,2
D-209729,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,39,39,0,13.8,8.4,11.2,5.4,51.1,24.6,60,4,1,4,2,4,3,1,1
D-209730,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,40,36,4,15.5,8.3,9.3,NA,52.3,24.9,50,4,1,4,5,4,2,1,2
D-209734,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,40,NA,NA,13.9,8.4,9,NA,50.1,27,50,4,2,3,2,4,3,2,2
D-209735,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,40,36,4,14.2,8.9,10.7,6.6,52,26.6,50,4,1,2,2,4,3,1,2
D-209736,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,41,36,5,14.1,8.2,9.5,5.1,51,26.8,40,4,2,3,3,4,3,2,1
D-209737,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,39,37,2,13.2,8.4,11.8,NA,52.2,25.5,50,4,2,3,3,4,3,2,2
D-209738,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,42,NA,NA,14,8,11.5,NA,50.6,24.6,NA,4,1,4,4,4,3,1,1
D-209739,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,39,NA,NA,14,8.6,9.1,5.3,51.8,25.1,NA,4,1,4,3,4,2,1,1
D-209740,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,42,37,5,14.1,8.5,10.5,NA,52.8,26.9,NA,4,1,4,3,4,2,1,1
D-209741,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,38,37,1,13.5,8.8,9.8,NA,50.8,27.6,50,4,NA,2,3,4,2,NA,NA
D-209743,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,41,37,4,12.9,8.6,10.6,NA,51.8,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209744,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,38,35,3,14.7,7.8,8.9,NA,49.5,26,50,4,2,2,5,4,3,2,2
D-209745,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,41,35,6,13.4,8.4,10.9,NA,52.9,27.5,50,4,2,3,3,4,3,2,NA
D-209746,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,42,37,5,13.6,8.6,10,NA,53.6,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209747,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,41,35,6,13.7,8.7,10.2,NA,51.3,22.9,50,4,NA,2,2,4,3,NA,NA
D-209749,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,43,36,7,13.7,8.7,10.9,5.8,52.9,25.2,NA,3,2,3,2,4,2,2,NA
D-209750,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,38,36,2,12.2,9.1,9.9,NA,52.6,24.6,NA,3,1,2,2,4,2,1,2
D-209751,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA
D-209755,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,42,38,4,13.4,8.5,10.4,4.5,51.3,27.5,60,3,2,3,3,4,3,3,2
D-209756,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,38,2,13.7,9.3,10.1,5.8,52.8,24.4,NA,4,2,3,3,4,3,2,2
D-209757,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,39,37,2,12.8,8.8,9.7,NA,53.6,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209758,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,42,39,3,12.1,8.2,10.2,NA,50.9,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209760,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,40,37,3,12.7,8.6,8.9,NA,52.9,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209761,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
D-209762,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,37,36,1,13.9,8.8,9.6,NA,53.6,25.8,NA,4,1,3,3,4,2,1,2
D-209763,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,42,40,2,13.4,8.2,9.6,5.5,52.6,24.8,50,4,2,3,3,4,3,2,2
D-209764,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,38,2,13.3,8.3,10.2,NA,50.6,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209765,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,39,37,2,13.6,9.2,10.2,4,52.8,25.3,50,4,3,2,2,4,3,2,2
D-209766,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,39,37,2,13.4,8.3,10.2,NA,52.4,26.9,50,4,1,3,2,4,4,1,3
D-209768,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,39,37,2,15,8.2,9.2,NA,54.7,26.5,60,4,2,4,2,4,3,3,3
D-209769,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,123,42,39,3,14.2,8.3,8.9,NA,52.1,26,50,3,2,3,3,4,3,2,2
D-209770,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,42,38,4,14.1,8.7,10.5,NA,55.5,24.7,50,4,1,2,4,4,3,1,3
D-209771,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,124,40,38,2,11,7.8,8.9,NA,51,25.3,50,4,2,4,5,4,2,2,2
D-209772,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,124,42,39,3,11.9,8.3,8.4,NA,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209774,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,39,37,2,13.3,9,9.7,4.2,52.9,26.6,60,4,1,3,4,4,2,1,2
D-209775,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,40,37,3,11.9,8.1,9.7,6.4,49.6,25.6,60,4,1,2,4,4,2,1,3
D-209777,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,40,35,5,11.4,8.7,10.3,5.1,51.4,25,60,4,1,2,3,4,3,1,3
D-209778,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,38,36,2,13,9,9.6,5.4,53,26,NA,4,1,2,3,4,2,1,2
D-209779,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,41,37,4,13.9,9.2,8.5,5.9,54.7,27.4,50,4,1,2,3,4,3,1,3
D-209780,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,45,40,5,11.8,7.9,9,6.6,51.2,23.8,50,4,1,2,3,4,2,1,2
D-209781,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,123,39,36,3,12.6,8.8,10.3,3.9,52.2,25.4,50,4,2,3,4,4,2,2,3
D-209782,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,42,38,4,12.8,7.8,8.9,3.8,49.7,24.8,50,4,1,2,3,4,2,1,2
D-209784,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,39,38,1,11.9,8.2,10.7,5.7,52.6,25,NA,3,2,3,4,4,3,3,1
D-209785,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,37,3,12,8.8,10,4.6,49.4,24.4,50,4,1,3,3,4,2,1,2
D-209786,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,40,36,4,13.1,8.9,7.9,6.1,51.7,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209787,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,38,37,1,13.3,8.8,10.1,6,51.9,24,NA,4,2,3,2,4,2,2,3
D-209790,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,39,35,4,12.2,8.2,8.8,5.4,52.7,25.9,50,4,1,3,3,4,3,1,3
